,Book Title,Author Name,Ratings,Score,People Voted,Image URL
0,The 5 AM Club: Own Your Morning. Elevate Your Life,Robin S. Sharma,"3.80 avg rating — 54,363 ratings", 478,5 ,https://www.goodreads.com/blog/show/2378?ref=BigBooksFall22_eb
1,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"4.11 avg rating — 512,676 ratings", 380,4 ,https://www.goodreads.com/
2,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"4.15 avg rating — 657,101 ratings", 283,3 ,https://www.goodreads.com/?ref=nav_home
3,Mindset: The New Psychology of Success,Carol S. Dweck,"4.08 avg rating — 124,313 ratings", 279,3 ,https://www.goodreads.com/review/list?ref=nav_mybooks
4,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"3.93 avg rating — 168,542 ratings", 278,3 ,https://www.goodreads.com/book?ref=nav_brws
5,How to Win Friends and Influence People,Dale Carnegie,"4.21 avg rating — 823,831 ratings", 276,3 ,https://www.goodreads.com/recommendations?ref=nav_brws_recs
6,"Change Confusion: Prepare, Support and Maintain (Carnsa Development Series Book 6)",Chris Lewis,5.00 avg rating — 2 ratings, 200,2 ,https://www.goodreads.com/choiceawards?ref=nav_brws_gca
7,Switch: How to Change Things When Change Is Hard,Chip Heath,"4.02 avg rating — 49,449 ratings", 199,2 ,https://www.goodreads.com/genres?ref=nav_brws_genres
8,The Gifts of Imperfection,Brené Brown,"4.24 avg rating — 158,227 ratings", 199,2 ,https://www.goodreads.com/giveaway?ref=nav_brws_giveaways
9,Leaders Eat Last,Simon Sinek,"4.11 avg rating — 42,496 ratings", 197,2 ,https://www.goodreads.com/book/popular_by_date/2022/9?ref=nav_brws_newrels
10,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"4.31 avg rating — 27,073 ratings", 196,2 ,https://www.goodreads.com/list?ref=nav_brws_lists
