,Description,BHK,Address,Posted,Image URL,Price
0,"Firdaus, Furnished Rooms starting rs 8500 in KPHB Hyderabad",1 Bds - 1 Ba - 300 ft2,"KPHB, HYDERABAD",AUG 17,https://www.olx.in/," 16,000"
1,SPACIOUS 2 BEDROOM HALL KITCHEN DRAWING ROOM AT AYODHYA NAGAR BERHAMPU,2 Bds - 2 Ba - 1999 ft2,"AYODHYA NAGAR, BERHMAPUR",JUL 31,https://www.olx.in/post," 10,000"
2,"Turangi, Behind Nexa show room, 2BHK with 2 attached toilets new flat",2 Bds - 2 Ba - 1400 ft2,"TURANGI, KAKINADA",JUL 22,https://www.olx.in/cars_c84," 9,500"
3,2 Room Set Semi Furnished in Dugri phase 1,2 Bds - 1 Ba - 856 ft2,"DUGRI URBAN ESTATE, LUDHIANA",TODAY,https://www.olx.in/motorcycles_c81," 8,000"
4,Wanted a single room,1 Bds - 1 Ba - 100 ft2,"DEV COLONY, ROHTAK",TODAY,https://www.olx.in/mobile-phones_c1453," 2,000"
5,1bhk luxury room with food,1 Bds - 1 Ba - 1000 ft2,"INDUSTRIAL COLONY, ALIGARH",TODAY,https://www.olx.in/for-sale-houses-apartments_c1725," 4,500"
6,Ground floor 1 room set furnished working girl sector 43,1 Bds - 1 Ba - 800 ft2,"SECTOR 43, CHANDIGARH",TODAY,https://www.olx.in/scooters_c1413," 10,000"
7,Need Room Partners,2 Bds - 2 Ba - 2500 ft2,"HINGNA T POINT, NAGPUR",TODAY,https://www.olx.in/commercial-other-vehicles_c85," 2,250"
8,"Independent House, 2 Rooms with Kitchen for Rent",2 Bds - 1 Ba - 2 ft2,"HABOWAL KALAN, LUDHIANA",TODAY,https://www.olx.in/for-rent-houses-apartments_c1723," 8,500"
9,I am looking for girl room mate its a 2bhk room one big hall,1 Bds - 1 Ba - 2500 ft2,"KELO VIHAR, RAIGARH",TODAY,https://www.olx.in/cars_c84," 3,250"
10,Room sharing,1 Bds - 1 Ba - 987 ft2,"VANDALUR, TAMBARAM",TODAY,https://www.olx.in/properties_c3," 8,000"
11,Need an room partner only girls,1 Bds - 1 Ba - 220 ft2,"LADO SARAI, DELHI",TODAY,https://www.olx.in/for-sale-houses-apartments_c1725," 2,500"
12,Room for Rent at 3000 in West Saidapet.,1 Bds - 1 Ba - 110 ft2,"WEST SAIDAPET, CHENNAI",TODAY,https://www.olx.in/for-rent-houses-apartments_c1723," 3,000"
13,1rk singles Room set furnished with doubles Bed walking ESI Metro Pink,1 Bds - 1 Ba - 477 ft2,"RAMESH NAGAR, DELHI",TODAY,https://www.olx.in/lands-plots_c1729," 8,000"
14,Chawl room for rent semifurnish,1 Bds - 1 Ba - 400 ft2,"KALYAN, THANE",TODAY,https://www.olx.in/for-rent-shops-offices_c1731," 6,000"
15,Near victoroa college 3 bed room house for rent,3 Bds - 3 Ba - 2800 ft2,"TAREKADU, PALAKKAD",TODAY,https://www.olx.in/for-sale-shops-offices_c1733," 32,000"
16,Three room set available for rent in Rohini sec 25 pkt 1.,2 Bds - 2 Ba - 56 ft2,"ROHINI, DELHI",TODAY,https://www.olx.in/pg-guest-houses_c1449," 15,000"
17,Room for rent in Chawl near Lokgram,1 Bds - 1 Ba - 225 ft2,"KALYAN EAST, THANE",TODAY,https://www.olx.in/mobiles_c1411," 6,000"
18,"Fully furnished Rooms , Starting price is 6500",1 Bds - 1 Ba - 350 ft2,"HINJEWADI, PUNE",AUG 18,https://www.olx.in/mobile-phones_c1453," 14,000"
19,"Bath Attached single room for Rent, Bachelors",1 Bds - 1 Ba - 200 ft2,"MG ROAD, KOCHI",AUG 12,https://www.olx.in/accessories_c1457," 6,000"
20,Indipendent furnished Rooms with attached Washroom,1 Bds - 1 Ba - 200 ft2,"LANKA, VARANASI",AUG 26,https://www.olx.in/tablets_c1455," 6,000"
21,1 room 1 kitchan,1 Bds - 1 Ba - 000 ft2,"DEV NAGAR, JODHPUR",TODAY,https://www.olx.in/jobs_c4," 5,200"
22,One Room set available for Rent attached kitchen washroom,1 Bds - 1 Ba - 200 ft2,"SHANTIKUNJ, HARIDWAR",TODAY,https://www.olx.in/data-entry-back-office_c1737," 3,000"
23,2bhk room for rent at jobra,2 Bds - 1 Ba - 2600 ft2,"LIC COLONY, CUTTACK",TODAY,https://www.olx.in/sales-marketing_c62," 10,000"
24,One room wd atach wash room,1 Bds - 1 Ba - 400 ft2,"VIP ROAD, ZIRAKPUR",TODAY,https://www.olx.in/bpo-telecaller_c164," 7,000"
25,bachelor room for rent 2bh Pallikaranai VGP shanthi Nagar 1man allowed,2 Bds - 2 Ba - 705 ft2,"PALLIKARANAI MA PO SI NAGAR, CHENNAI",TODAY,https://www.olx.in/driver_c2206," 6,000"
